"parcela_id","arvore_id","CAP","altura","Ano"
3,40,32.26312672,0,2019
3,41,30.27430384,0,2019
3,42,26.18616792,0,2019
3,43,31.60018576,0,2019
3,44,34.03096928,0,2019
3,45,28.94842192,0,2019
3,47,26.84910888,0,2019
3,47,17.1259748,0,2019
3,48,34.47292992,0,2019
3,49,27.0700892,0,2019
3,50,32.0421464,0,2019
3,51,37.12469376,15.6,2019
3,52,31.60018576,0,2019
3,53,31.15822512,0,2019
3,54,32.37361688,0,2019
3,55,33.47851848,0,2019
3,56,33.36802832,0,2019
3,57,29.61136288,0,2019
3,58,33.47851848,0,2019
3,59,31.26871528,0,2019
3,60,29.16940224,0,2019
3,61,35.24636104,0,2019
3,62,32.37361688,0,2019
3,63,27.95401048,0,2019
3,64,33.36802832,0,2019
3,65,15.91058304,0,2019
